Year;Consumer Films;Consumer Bags;Consumer Bottles;Other Consumer Packaging;Non Consumer Bags;Other Non Consumer Films;Other Non Consumer Packaging;Pipes and Ducts;Insulation;Wall and Floor Coverings;Windows, Profiles and Fitted Furniture;Lining;Building Packaging Films;Building Textiles;Geotextiles;Agricultural Packaging Films;Agricultural Packaging Bottles;Agricultural Films;Agricultural Pipes;Other Agricultural Plastics;Agrotextiles;Automotive;Mobility Textiles;Electrical and Electronic Equipment;Household Plastics;Furniture;Personal Care and Cosmetic Products;Other Plastic Products;Hygiene and Medical Textiles;Clothing;Technical Clothing;Household Textiles;Technical Household Textiles;Fabric Coatings;Other Technical Textiles
1;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0;0,01;0,0175;0,006451613;0,025;0,9;0,0175;0,148148148;0,9;0,9;0,25;0;0,25;0,25;0,05;0,05;0;0,006;0,1;0,429;0,006;0,9;0,3;0,3;0,230763365;0,230763365;0,230763365;0,271
2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0,01;0,0175;0,006451613;0,025;0,1;0,0175;0,037037037;0,1;0,1;0,25;0;0,25;0,25;0,025;0,025;0;0,026;0,125;0,571;0,026;0,1;0,4;0,4;0,2024327;0,2024327;0,2024327;0,147
3;0;0;0;0;0;0;0;0,003333333;0;0,016666667;0;0;0;0,005555556;0,037037037;0;0;0,25;0,003333333;0,25;0,25;0,025;0,025;0,055555556;0,078;0,125;0;0,078;0;0,15;0,1;0,097155495;0,097155495;0,097155495;0,074
4;0;0;0;0;0;0;0;0,003333333;0;0,016666667;0;0;0;0,005555556;0,037037037;0;0;0,25;0,003333333;0,25;0,25;0,025;0,025;0,055555556;0,16;0,125;0;0,16;0;0,1;0,1;0,097155495;0,097155495;0,097155495;0,074
5;0;0;0;0;0;0;0;0,003333333;0;0,016666667;0;0;0;0,005555556;0,037037037;0;0;0;0,003333333;0;0;0,025;0,025;0,055555556;0,23;0,125;0;0,23;0;0,05;0,1;0,097155495;0,097155495;0,097155495;0,038
6;0;0;0;0;0;0;0;0,002;0;0,07;0,02;0,02;0;0,03;0,037037037;0;0;0;0,002;0;0;0,08;0,08;0,068888889;0,23;0,03;0;0,23;0;0;0;0,055540304;0,055540304;0,055540304;0,029
7;0;0;0;0;0;0;0;0,002;0;0,07;0,02;0,02;0;0,03;0;0;0;0;0,002;0;0;0,08;0,08;0,068888889;0,16;0,03;0;0,16;0;0;0;0,055540304;0,055540304;0,055540304;0,024
8;0;0;0;0;0;0;0;0,002;0;0,07;0,02;0,02;0;0,03;0;0;0;0;0,002;0;0;0,08;0,08;0,068888889;0,078;0,03;0;0,078;0;0;0;0,055540304;0,055540304;0,055540304;0,024
9;0;0;0;0;0;0;0;0,002;0;0,07;0,02;0,02;0;0,03;0;0;0;0;0,002;0;0;0,08;0,08;0,068888889;0,026;0,03;0;0,026;0;0;0;0,055540304;0,055540304;0,055540304;0,024
10;0;0;0;0;0;0;0;0,002;0;0,07;0,02;0,02;0;0,03;0;0;0;0;0,002;0;0;0,08;0,08;0,068888889;0,006;0,03;0;0,006;0;0;0;0,055540304;0,055540304;0,055540304;0,024
